SalesOrderID,SalesOrderDetailID,CarrierTrackingNumber,OrderQty,ProductID,SpecialOfferID,UnitPrice,UnitPriceDiscount,LineTotal,rowguid,ModifiedDate
7/13/2019,1,4911-403C-98,1,776,1,2024.9940,0.0000,2024.9940,B207C96D-D9E6-402B-8470-2CC176C42283,5/31/2011
7/13/2019,2,4911-403C-98,3,777,1,2024.9940,0.0000,6074.9820,7ABB600D-1E77-41BE-9FE5-B9142CFC08FA,5/31/2011
7/13/2019,3,4911-403C-98,1,778,1,2024.9940,0.0000,2024.9940,475CF8C6-49F6-486E-B0AD-AFC6A50CDD2F,5/31/2011
7/13/2019,4,4911-403C-98,1,771,1,2039.9940,0.0000,2039.9940,04C4DE91-5815-45D6-8670-F462719FBCE3,5/31/2011
7/13/2019,5,4911-403C-98,1,772,1,2039.9940,0.0000,2039.9940,5A74C7D2-E641-438E-A7AC-37BF23280301,5/31/2011
7/13/2019,6,4911-403C-98,2,773,1,2039.9940,0.0000,4079.9880,CE472532-A4C0-45BA-816E-EEFD3FD848B3,5/31/2011
7/13/2019,7,4911-403C-98,1,774,1,2039.9940,0.0000,2039.9940,80667840-F962-4EE3-96E0-AECA108E0D4F,5/31/2011
7/13/2019,8,4911-403C-98,3,714,1,28.8404,0.0000,86.5212,E9D54907-E7B7-4969-80D9-76BA69F8A836,5/31/2011
7/13/2019,9,4911-403C-98,1,716,1,28.8404,0.0000,28.8404,AA542630-BDCD-4CE5-89A0-C1BF82747725,5/31/2011
7/13/2019,10,4911-403C-98,6,709,1,5.7000,0.0000,34.2000,AC769034-3C2F-495C-A5A7-3B71CDB25D4E,5/31/2011
7/13/2019,11,4911-403C-98,2,712,1,5.1865,0.0000,10.3730,06A66921-6B9F-4199-A912-DDAFD383472B,5/31/2011
7/13/2019,12,4911-403C-98,4,711,1,20.1865,0.0000,80.7460,0E371EE3-253E-4BB0-B813-83CF4224F972,5/31/2011
7/14/2019,13,6431-4D57-83,1,762,1,419.4589,0.0000,419.4589,419A1302-AC7A-4044-97B2-66D9D14CD02E,5/31/2011
7/14/2019,14,6431-4D57-83,1,758,1,874.7940,0.0000,874.7940,5D0B2B03-1D4C-4C34-9696-C14C58E7301C,5/31/2011
7/15/2019,15,4E0A-4F89-AE,1,745,1,809.7600,0.0000,809.7600,EDE1759E-6733-4C7B-A43F-DC6F48002D8A,5/31/2011
7/15/2019,16,4E0A-4F89-AE,1,743,1,714.7043,0.0000,714.7043,FE10BF09-D477-485B-9541-27AE8053A6D4,5/31/2011
7/15/2019,17,4E0A-4F89-AE,2,747,1,714.7043,0.0000,1429.4086,B136852E-24C9-4006-8048-B14AEFE6C337,5/31/2011
7/15/2019,18,4E0A-4F89-AE,4,712,1,5.1865,0.0000,20.7460,F0F410B6-BC93-4D77-B70D-E4E2465D98EE,5/31/2011
